metabolites,numerator,denominator,p-value,q-value,FC
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),CK10,N2,0.1471,0.6664,1.12
"1,2-dioleoyl-GPC (18:1/18:1)",CK10,N2,0.9858,0.9311,0.78
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,CK10,N2,0.1305,0.6571,0.46
1-oleoyl-2-alpha-linolenoyl-GPC (18:1/18:3n3),CK10,N2,0.0156,0.4155,3.17
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,CK10,N2,0.5294,0.8771,0.70
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,CK10,N2,0.8640,0.9160,0.76
"1,2-dipalmitoyl-GPE (16:0/16:0)*",CK10,N2,0.3896,0.8535,1.11
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,CK10,N2,0.0010,0.1023,0.16
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),CK10,N2,0.6825,0.9036,1.05
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,CK10,N2,0.0817,0.5792,0.55
1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*,CK10,N2,0.3209,0.8279,0.78
1-stearoyl-2-oleoyl-GPE (18:0/18:1),CK10,N2,0.0011,0.1023,0.16
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,CK10,N2,0.2793,0.7903,1.49
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),CK10,N2,0.8933,0.9192,1.01
"1,2-dioleoyl-GPE (18:1/18:1)",CK10,N2,0.0001,0.0277,0.31
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,CK10,N2,0.0001,0.0277,0.28
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,CK10,N2,0.6782,0.9036,0.90
"1,2-dilinoleoyl-GPE (18:2/18:2)*",CK10,N2,0.0167,0.4155,0.46
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),CK10,N2,0.3390,0.8372,1.23
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),CK10,N2,0.4065,0.8633,1.13
1-palmitoleoyl-2-oleoyl-GPG (16:1/18:1)*,CK10,N2,0.8933,0.9192,1.12
1-stearoyl-2-oleoyl-GPG (18:0/18:1),CK10,N2,0.0857,0.5991,0.15
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),CK10,N2,0.7895,0.9036,1.11
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),CK10,N2,0.9176,0.9243,1.07
1-palmitoyl-GPC (16:0),CK10,N2,0.8296,0.9045,0.76
1-palmitoleoyl-GPC (16:1)*,CK10,N2,0.7302,0.9036,1.32
1-stearoyl-GPC (18:0),CK10,N2,0.5506,0.8852,0.82
1-oleoyl-GPC (18:1),CK10,N2,0.6910,0.9036,0.78
1-linoleoyl-GPC (18:2),CK10,N2,0.6292,0.9004,0.77
1-linolenoyl-GPC (18:3)*,CK10,N2,0.6868,0.9036,1.78
1-arachidonoyl-GPC (20:4n6)*,CK10,N2,0.8505,0.9142,0.92
1-lignoceroyl-GPC (24:0),CK10,N2,0.2769,0.7903,0.44
1-palmitoyl-GPE (16:0),CK10,N2,0.0770,0.5792,0.61
1-stearoyl-GPE (18:0),CK10,N2,0.6032,0.8934,0.73
2-stearoyl-GPE (18:0)*,CK10,N2,0.8472,0.9142,1.36
1-oleoyl-GPE (18:1),CK10,N2,0.2620,0.7760,0.69
1-linoleoyl-GPE (18:2)*,CK10,N2,0.6421,0.9036,2.34
1-arachidonoyl-GPE (20:4n6)*,CK10,N2,0.9030,0.9243,1.51
1-stearoyl-GPS (18:0)*,CK10,N2,0.8786,0.9160,1.58
1-stearoyl-GPG (18:0),CK10,N2,0.7055,0.9036,1.17
1-stearoyl-GPI (18:0),CK10,N2,0.9421,0.9292,1.71
1-oleoyl-GPI (18:1),CK10,N2,0.3468,0.8372,3.05
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,CK10,N2,0.6544,0.9036,0.93
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,CK10,N2,0.5460,0.8849,1.03
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),CK10,N2,0.0114,0.3592,0.58
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,CK10,N2,0.0038,0.2068,0.53
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,CK10,N2,0.9711,0.9311,1.02
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,CK10,N2,0.1378,0.6603,0.32
1-(1-enyl-oleoyl)-GPE (P-18:1)*,CK10,N2,0.0192,0.4312,0.35
1-(1-enyl-stearoyl)-GPE (P-18:0)*,CK10,N2,0.9201,0.9255,1.12
1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*,CK10,N2,0.0003,0.0497,0.30
glycerol,CK10,N2,0.2427,0.7760,0.51
glycerol 3-phosphate,CK10,N2,0.8713,0.9160,0.60
glycerophosphoglycerol,CK10,N2,0.3289,0.8316,0.99
1-myristoylglycerol (14:0),CK10,N2,0.0864,0.5991,0.20
1-pentadecanoylglycerol (15:0),CK10,N2,0.2035,0.7529,0.51
1-palmitoylglycerol (16:0),CK10,N2,0.9138,0.9243,1.40
1-palmitoleoylglycerol (16:1)*,CK10,N2,0.7792,0.9036,0.71
1-margaroylglycerol (17:0),CK10,N2,0.2282,0.7718,0.45
1-oleoylglycerol (18:1),CK10,N2,0.0631,0.5630,0.27
1-linoleoylglycerol (18:2),CK10,N2,0.0151,0.4155,0.19
1-linolenoylglycerol (18:3),CK10,N2,0.4541,0.8633,0.45
1-dihomo-linolenylglycerol (20:3),CK10,N2,0.0806,0.5792,0.44
1-arachidonylglycerol (20:4),CK10,N2,0.2910,0.7903,0.17
1-eicosapentaenoylglycerol (20:5)*,CK10,N2,0.0578,0.5375,0.08
2-palmitoleoylglycerol (16:1)*,CK10,N2,0.5559,0.8852,0.61
2-oleoylglycerol (18:1),CK10,N2,0.1313,0.6571,0.12
2-linoleoylglycerol (18:2),CK10,N2,0.0262,0.4550,0.11
2-arachidonoylglycerol (20:4),CK10,N2,0.3022,0.8084,0.21
2-eicosapentaenoylglycerol (20:5)*,CK10,N2,0.0258,0.4550,0.04
1-heptadecenoylglycerol (17:1)*,CK10,N2,0.1075,0.6137,0.24
2-heptadecenoylglycerol (17:1)*,CK10,N2,0.4770,0.8633,0.61
1-dihomo-linoleoylglycerol (20:2),CK10,N2,0.0017,0.1226,0.08
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],CK10,N2,0.0431,0.5375,2.55
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,CK10,N2,0.1817,0.7399,2.56
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,CK10,N2,0.0174,0.4155,3.70
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,CK10,N2,0.7510,0.9036,1.33
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,CK10,N2,0.6785,0.9036,2.51
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,CK10,N2,0.3201,0.8279,2.12
sphinganine,CK10,N2,0.3836,0.8507,1.27
phytosphingosine,CK10,N2,0.4539,0.8633,1.51
hexadecasphinganine (d16:0)*,CK10,N2,0.6911,0.9036,0.90
1-deoxysphinganine (m18:0),CK10,N2,0.7888,0.9036,0.58
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",CK10,N2,0.1065,0.6137,7.42
heptadecasphingosine (d17:1),CK10,N2,0.0748,0.5792,1.52
3-hydroxy-3-methylglutarate,CK10,N2,0.9568,0.9311,0.49
7-dehydrocholesterol,CK10,N2,0.0342,0.4985,6.51
4-cholesten-3-one,CK10,N2,0.8800,0.9160,0.18
cholate,CK10,N2,0.8716,0.9160,1.57
glycocholate,CK10,N2,0.3784,0.8498,1.00
taurocholate,CK10,N2,0.5542,0.8852,1.03
deoxycholate,CK10,N2,0.8440,0.9132,1.66
glycodeoxycholate,CK10,N2,0.4743,0.8633,1.16
taurodeoxycholate,CK10,N2,0.4968,0.8633,1.02
inosine 5'-monophosphate (IMP),CK10,N2,0.1696,0.7106,0.64
inosine,CK10,N2,0.3701,0.8498,1.21
hypoxanthine,CK10,N2,0.7479,0.9036,0.58
xanthine,CK10,N2,0.0689,0.5657,0.26
xanthosine,CK10,N2,0.9822,0.9311,0.96
2'-deoxyinosine,CK10,N2,0.6627,0.9036,1.11
urate,CK10,N2,0.4958,0.8633,0.78
uric acid ribonucleoside*,CK10,N2,0.6564,0.9036,1.74
allantoin,CK10,N2,0.6823,0.9036,0.95
allantoic acid,CK10,N2,0.7592,0.9036,1.70
adenosine 5'-monophosphate (AMP),CK10,N2,0.5810,0.8911,0.67
adenosine 3'-monophosphate (3'-AMP),CK10,N2,0.4822,0.8633,0.20
adenosine 2'-monophosphate (2'-AMP),CK10,N2,0.9263,0.9266,0.97
"adenosine 3',5'-cyclic monophosphate (cAMP)",CK10,N2,0.5592,0.8852,0.18
"adenosine-2',3'-cyclic monophosphate",CK10,N2,0.1367,0.6598,0.96
"adenosine 3',5'-diphosphate",CK10,N2,0.0561,0.5375,0.54
adenylosuccinate,CK10,N2,0.4156,0.8633,0.33
adenosine,CK10,N2,0.8701,0.9160,2.06
adenine,CK10,N2,0.4924,0.8633,2.93
1-methyladenine,CK10,N2,0.2210,0.7718,0.58
N1-methyladenosine,CK10,N2,0.6374,0.9004,1.09
N6-methyladenosine,CK10,N2,0.8182,0.9045,1.06
isopentenyl adenosine,CK10,N2,0.0052,0.2335,12.69
N6-carbamoylthreonyladenosine,CK10,N2,0.5665,0.8852,1.14
2'-deoxyadenosine 5'-monophosphate,CK10,N2,0.0733,0.5792,0.17
N6-succinyladenosine,CK10,N2,0.2910,0.7903,1.36
guanosine 5'-diphosphate (GDP),CK10,N2,0.8137,0.9045,1.98
guanosine 5'-monophosphate (5'-GMP),CK10,N2,0.6887,0.9036,0.94
guanosine 3'-monophosphate (3'-GMP),CK10,N2,0.3615,0.8498,1.24
"guanosine-2',3'-cyclic monophosphate",CK10,N2,0.3762,0.8498,3.64
guanosine,CK10,N2,0.5371,0.8771,1.39
guanine,CK10,N2,0.5808,0.8911,0.87
1-methylguanine,CK10,N2,0.4767,0.8633,0.43
7-methylguanine,CK10,N2,0.2524,0.7760,0.46
7-methylguanosine,CK10,N2,0.0268,0.4550,3.28
N1-methylguanosine,CK10,N2,0.7458,0.9036,0.93
N2-methylguanosine,CK10,N2,0.6516,0.9036,0.91
"N2,N2-dimethylguanosine",CK10,N2,0.1545,0.6853,1.35
"N2,N2-dimethylguanine",CK10,N2,0.4669,0.8633,0.81
8-hydroxyguanine,CK10,N2,0.5647,0.8852,2.93
2'-deoxyguanosine 5'-monophosphate (dGMP),CK10,N2,0.3433,0.8372,0.61
2'-deoxyguanosine,CK10,N2,0.8778,0.9160,0.78
N-carbamoylaspartate,CK10,N2,0.5639,0.8852,0.22
dihydroorotate,CK10,N2,0.9451,0.9292,0.72
orotate,CK10,N2,0.4435,0.8633,0.24
orotidine,CK10,N2,0.1584,0.6977,0.45
uridine 5'-diphosphate (UDP),CK10,N2,0.4675,0.8633,1.11
uridine 5'-monophosphate (UMP),CK10,N2,0.7563,0.9036,1.00
uridine 3'-monophosphate (3'-UMP),CK10,N2,0.6764,0.9036,0.32
"uridine-2',3'-cyclic monophosphate",CK10,N2,0.5477,0.8849,0.85
uridine,CK10,N2,0.8659,0.9160,1.04
uracil,CK10,N2,0.6824,0.9036,0.70
pseudouridine,CK10,N2,0.9147,0.9243,0.41
"5,6-dihydrouridine",CK10,N2,0.3282,0.8316,1.33
2'-O-methyluridine,CK10,N2,0.6895,0.9036,1.00
5-methyluridine (ribothymidine),CK10,N2,0.2388,0.7760,1.52
"5,6-dihydrouracil",CK10,N2,0.1839,0.7399,0.59
2'-deoxyuridine 5'-monophosphate,CK10,N2,0.2068,0.7569,0.17
2'-deoxyuridine,CK10,N2,0.8069,0.9045,0.79
3-ureidopropionate,CK10,N2,0.1979,0.7399,0.52
beta-alanine,CK10,N2,0.1862,0.7399,0.37
3-(3-amino-3-carboxypropyl)uridine*,CK10,N2,0.3666,0.8498,0.84
cytidine diphosphate,CK10,N2,0.4897,0.8633,1.53
cytidine 5'-monophosphate (5'-CMP),CK10,N2,0.8885,0.9192,1.26
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),CK10,N2,0.6221,0.9004,0.81
"cytidine 2',3'-cyclic monophosphate",CK10,N2,0.4520,0.8633,1.21
cytidine,CK10,N2,0.7841,0.9036,0.65
cytosine,CK10,N2,0.5052,0.8633,0.32
3-methylcytidine,CK10,N2,0.2659,0.7760,1.68
5-methylcytidine,CK10,N2,0.2708,0.7766,1.28
2'-deoxycytidine 5'-monophosphate,CK10,N2,0.1475,0.6664,0.24
2'-deoxycytidine,CK10,N2,0.5190,0.8682,0.35
2'-O-methylcytidine,CK10,N2,0.9454,0.9292,0.87
thymidine 5'-monophosphate,CK10,N2,0.0812,0.5792,0.28
thymidine,CK10,N2,0.9660,0.9311,0.47
thymine,CK10,N2,0.5527,0.8852,0.68
"5,6-dihydrothymine",CK10,N2,0.4534,0.8633,1.78
3-aminoisobutyrate,CK10,N2,0.0913,0.6100,0.27
methylphosphate,CK10,N2,0.9989,0.9311,1.31
(3'-5')-adenylylcytidine,CK10,N2,0.2645,0.7760,2.67
(3'-5')-adenylylguanosine*,CK10,N2,0.2176,0.7718,4.14
(3'-5')-adenylyluridine,CK10,N2,0.4832,0.8633,4.97
(3'-5')-adenylyladenosine*,CK10,N2,0.7497,0.9036,2.56
(3'-5')-cytidylyladenosine,CK10,N2,0.6978,0.9036,2.87
(3'-5')-cytidylylcytidine*,CK10,N2,0.6308,0.9004,1.58
(3'-5')-cytidylylguanosine,CK10,N2,0.5687,0.8867,2.73
(3'-5')-cytidylyluridine*,CK10,N2,0.4253,0.8633,2.42
(3'-5')-guanylylcytidine,CK10,N2,0.1077,0.6137,3.46
(3'-5')-guanylyluridine,CK10,N2,0.0992,0.6137,7.13
(3'-5')-uridylylcytidine*,CK10,N2,0.1316,0.6571,2.85
(3'-5')-uridylyluridine,CK10,N2,0.0819,0.5792,4.23
(3'-5')-uridylyladenosine,CK10,N2,0.0441,0.5375,4.46
quinolinate,CK10,N2,0.0337,0.4985,0.46
nicotinate,CK10,N2,0.2815,0.7903,0.77
nicotinate ribonucleoside,CK10,N2,0.8039,0.9045,0.90
nicotinic acid mononucleotide (NaMN),CK10,N2,0.7839,0.9036,0.69
nicotinamide,CK10,N2,0.7588,0.9036,0.60
nicotinamide ribonucleotide (NMN),CK10,N2,0.3820,0.8498,1.76
nicotinamide riboside,CK10,N2,0.7883,0.9036,0.42
nicotinamide adenine dinucleotide (NAD+),CK10,N2,0.5645,0.8852,0.35
6-hydroxynicotinate,CK10,N2,0.4363,0.8633,1.27
trigonelline (N'-methylnicotinate),CK10,N2,0.7934,0.9036,1.33
riboflavin (vitamin B2),CK10,N2,0.0651,0.5657,0.73
flavin adenine dinucleotide (FAD),CK10,N2,0.2593,0.7760,0.44
flavin mononucleotide (FMN),CK10,N2,0.0051,0.2335,0.41
pantoate,CK10,N2,0.6006,0.8934,0.76
pantothenate,CK10,N2,0.1277,0.6534,0.72
pantethine,CK10,N2,0.3208,0.8279,0.36
pantetheine,CK10,N2,0.0645,0.5657,3.66
phosphopantetheine,CK10,N2,0.8521,0.9142,1.49
3'-dephosphocoenzyme A,CK10,N2,0.2875,0.7903,0.31
coenzyme A,CK10,N2,0.4511,0.8633,0.49
ascorbate (vitamin C),CK10,N2,0.4477,0.8633,8.80
dehydroascorbate,CK10,N2,0.6527,0.9036,0.84
threonate,CK10,N2,0.5321,0.8771,0.87
gulonate*,CK10,N2,0.1425,0.6658,0.61
biotin,CK10,N2,0.1395,0.6603,0.61
5-methyltetrahydrofolate (5MeTHF),CK10,N2,0.9887,0.9311,0.98
biopterin,CK10,N2,0.0235,0.4312,0.49
dihydrobiopterin,CK10,N2,0.0435,0.5375,0.51
pterin,CK10,N2,0.1199,0.6366,0.68
xanthopterin,CK10,N2,0.1879,0.7399,0.57
protoporphyrin IX,CK10,N2,0.9610,0.9311,1.00
heme,CK10,N2,0.4322,0.8633,1.27
biliverdin,CK10,N2,0.4422,0.8633,0.69
thiamin (vitamin B1),CK10,N2,0.9339,0.9275,0.92
thiamin monophosphate,CK10,N2,0.5906,0.8934,0.87
thiamin diphosphate,CK10,N2,0.1797,0.7375,0.20
carotene diol (1),CK10,N2,0.3889,0.8535,0.93
pyridoxamine,CK10,N2,0.9463,0.9292,0.74
pyridoxamine phosphate,CK10,N2,0.3184,0.8279,0.20
pyridoxal phosphate,CK10,N2,0.0519,0.5375,0.47
pyridoxal,CK10,N2,0.1959,0.7399,1.74
pyridoxate,CK10,N2,0.1968,0.7399,1.20
benzoate,CK10,N2,0.2055,0.7565,2.64
4-hydroxybenzoate,CK10,N2,0.0514,0.5375,0.56
catechol,CK10,N2,0.2514,0.7760,0.31
anthraniloyl-O-glucose,CK10,N2,0.4010,0.8633,0.39
1-methylxanthine,CK10,N2,0.2422,0.7760,0.30
2-piperidinone,CK10,N2,0.6827,0.9036,0.74
3-dehydroshikimate,CK10,N2,0.2246,0.7718,0.06
"2,3-dihydroxyisovalerate",CK10,N2,0.1426,0.6658,0.50
dipicolinate,CK10,N2,0.0080,0.3009,1.19
2-isopropylmalate,CK10,N2,0.2029,0.7529,0.41
3-formylindole,CK10,N2,0.8220,0.9045,0.74
3-hydroxyindolin-2-one,CK10,N2,0.6522,0.9036,1.51
gluconate,CK10,N2,0.8254,0.9045,0.75
ciliatine (2-aminoethylphosphonate),CK10,N2,0.7516,0.9036,2.69
ergothioneine,CK10,N2,0.9805,0.9311,0.22
erythritol,CK10,N2,0.0940,0.6100,0.46
quinate,CK10,N2,0.2340,0.7718,0.24
histidine betaine (hercynine)*,CK10,N2,0.9561,0.9311,0.22
homostachydrine*,CK10,N2,0.5767,0.8911,1.29
mannonate*,CK10,N2,0.4037,0.8633,0.48
stachydrine,CK10,N2,0.7505,0.9036,0.75
ethyl alpha-glucopyranoside,CK10,N2,1.0000,0.9311,1.00
methyl glucopyranoside (alpha + beta),CK10,N2,0.4479,0.8633,0.38
harmane,CK10,N2,0.3599,0.8498,0.69
2-ketogluconate,CK10,N2,0.3925,0.8572,1.32
"9,10-methylenehexadecanoate**",CK10,N2,0.6368,0.9004,0.81
2-dimethylaminoethanol,CK10,N2,0.1877,0.7399,0.61
3-indoleglyoxylic acid,CK10,N2,0.9079,0.9243,1.14
ethyl beta-glucopyranoside,CK10,N2,0.0535,0.5375,0.03
pyochelin,CK10,N2,0.3683,0.8498,1.05
lactobacillic acid,CK10,N2,0.4328,0.8633,0.99
7-chlorotryptophan,CK10,N2,0.3325,0.8362,0.65
pyrrolnitrin,CK10,N2,0.4489,0.8633,1.00
5-fluorouracil,CK10,N2,0.5294,0.8771,0.70
salicylate,CK10,N2,0.2287,0.7718,0.67
S-carboxymethyl-cysteine,CK10,N2,0.4513,0.8633,0.46
sulfate*,CK10,N2,0.3779,0.8498,0.81
O-sulfo-tyrosine,CK10,N2,0.8931,0.9192,1.04
ectoine,CK10,N2,0.2632,0.7760,0.08
glycerol 2-phosphate,CK10,N2,0.8799,0.9160,1.09
"2,4-di-tert-butylphenol",CK10,N2,0.5311,0.8771,0.82
thioproline,CK10,N2,0.7606,0.9036,1.00
glutamine_degradant*,CK10,N2,0.2206,0.7718,0.59
X-10445,CK10,N2,1.0000,0.9311,1.00
X-11580,CK10,N2,0.8900,0.9192,0.79
X-11612,CK10,N2,0.5017,0.8633,0.65
X-11615,CK10,N2,0.0765,0.5792,0.09
X-11787,CK10,N2,0.7313,0.9036,0.44
X-11795,CK10,N2,0.1917,0.7399,0.15
X-12026,CK10,N2,0.0598,0.5408,0.52
X-12100,CK10,N2,0.1467,0.6664,0.67
X-12101,CK10,N2,0.4291,0.8633,0.52
X-12411,CK10,N2,0.0971,0.6137,0.24
X-12462,CK10,N2,0.6866,0.9036,0.77
X-13507,CK10,N2,0.8640,0.9160,0.63
X-14056,CK10,N2,0.7769,0.9036,1.41
X-14254,CK10,N2,0.3507,0.8372,0.32
X-15161,CK10,N2,0.5760,0.8911,1.11
X-15245,CK10,N2,0.4005,0.8633,0.18
X-15461,CK10,N2,0.8241,0.9045,0.29
X-15520,CK10,N2,0.6310,0.9004,0.77
X-15853,CK10,N2,0.2867,0.7903,0.58
X-16938,CK10,N2,0.0335,0.4985,0.30
X-17009,CK10,N2,0.1074,0.6137,0.65
X-17335,CK10,N2,0.9754,0.9311,0.98
X-17761,CK10,N2,0.8499,0.9142,1.05
X-17877,CK10,N2,0.1975,0.7399,0.57
X-18278,CK10,N2,0.7206,0.9036,0.29
X-20100,CK10,N2,0.2911,0.7903,0.45
X-20172,CK10,N2,0.7224,0.9036,0.36
X-20716,CK10,N2,0.9622,0.9311,0.54
X-20747,CK10,N2,0.2297,0.7718,0.38
X-21353,CK10,N2,0.9316,0.9266,0.79
X-21607,CK10,N2,0.6509,0.9036,1.36
X-21796,CK10,N2,0.2704,0.7766,0.47
X-22062,CK10,N2,0.7867,0.9036,0.36
X-22776,CK10,N2,0.6936,0.9036,1.62
X-23109,CK10,N2,0.5663,0.8852,1.03
X-23587,CK10,N2,0.5474,0.8849,1.01
X-23593,CK10,N2,0.7007,0.9036,0.56
X-23639,CK10,N2,0.7831,0.9036,0.26
X-23648,CK10,N2,0.2412,0.7760,2.06
X-23654,CK10,N2,0.6885,0.9036,2.70
X-23662,CK10,N2,0.0306,0.4985,11.40
X-23672,CK10,N2,0.2205,0.7718,0.62
X-23739,CK10,N2,0.6459,0.9036,0.53
X-24243,CK10,N2,0.7735,0.9036,0.36
X-24425,CK10,N2,0.2153,0.7718,0.83
X-24456,CK10,N2,0.9984,0.9311,1.10
X-24608,CK10,N2,0.9508,0.9311,0.68
X-24697,CK10,N2,0.8132,0.9045,1.63
X-24728,CK10,N2,0.5931,0.8934,0.39
X-24729,CK10,N2,0.6183,0.9004,0.20
X-24807,CK10,N2,0.8833,0.9168,0.60
X-25004,CK10,N2,0.7919,0.9036,1.34
X-25009,CK10,N2,0.0464,0.5375,0.42
X-25026,CK10,N2,0.4531,0.8633,0.79
X-25080,CK10,N2,0.5849,0.8912,0.52
X-25102,CK10,N2,0.8984,0.9231,1.15
X-25109,CK10,N2,0.6060,0.8934,0.35
X-25111,CK10,N2,0.7411,0.9036,1.12
X-25180,CK10,N2,0.4372,0.8633,0.63
X-25551,CK10,N2,0.4251,0.8633,1.13
X-25563,CK10,N2,0.2620,0.7760,1.19
X-25594,CK10,N2,0.4517,0.8633,1.58
X-25837,CK10,N2,0.4288,0.8633,1.55
X-25936,CK10,N2,0.5227,0.8705,1.38
X-25940,CK10,N2,0.2295,0.7718,1.08
X-25948,CK10,N2,0.0001,0.0277,0.15
X-25955,CK10,N2,0.1117,0.6137,1.80
X-25984,CK10,N2,0.3557,0.8439,2.38
X-26008,CK10,N2,0.7764,0.9036,0.13
X-26094,CK10,N2,0.9557,0.9311,0.97
X-26095,CK10,N2,1.0000,0.9311,1.00
X-26127,CK10,N2,0.7105,0.9036,1.65
glycine,CL2355,N2,0.6786,1.0000,0.89
N-acetylglycine,CL2355,N2,0.0197,1.0000,0.23
sarcosine,CL2355,N2,0.5610,1.0000,0.66
dimethylglycine,CL2355,N2,0.5149,1.0000,0.40
betaine,CL2355,N2,0.9172,1.0000,0.40
betaine aldehyde,CL2355,N2,0.5557,1.0000,0.62
serine,CL2355,N2,0.8678,1.0000,0.83
N-acetylserine,CL2355,N2,0.3850,1.0000,0.39
3-phosphoserine,CL2355,N2,0.7150,1.0000,0.67
threonine,CL2355,N2,0.9225,1.0000,0.77
N-acetylthreonine,CL2355,N2,0.4074,1.0000,0.44
O-acetylhomoserine,CL2355,N2,0.6593,1.0000,0.70
homoserine lactone,CL2355,N2,0.8627,1.0000,0.91
alanine,CL2355,N2,0.2520,1.0000,0.76
N-acetylalanine,CL2355,N2,0.6736,1.0000,1.01
aspartate,CL2355,N2,0.6145,1.0000,0.61
N-acetylaspartate (NAA),CL2355,N2,0.8552,1.0000,0.74
asparagine,CL2355,N2,0.6014,1.0000,1.76
N-acetylasparagine,CL2355,N2,0.4805,1.0000,0.69
glutamate,CL2355,N2,0.5586,1.0000,0.59
glutamine,CL2355,N2,0.7913,1.0000,0.98
alpha-ketoglutaramate*,CL2355,N2,0.4449,1.0000,0.54
N-acetylglutamate,CL2355,N2,0.1206,1.0000,0.41
N-acetylglutamine,CL2355,N2,0.0630,1.0000,0.15
4-hydroxyglutamate,CL2355,N2,0.4538,1.0000,0.32
"glutamate, gamma-methyl ester",CL2355,N2,0.0096,1.0000,4.97
S-1-pyrroline-5-carboxylate,CL2355,N2,0.4066,1.0000,0.61
propionylglutamine,CL2355,N2,0.2799,1.0000,0.42
histidine,CL2355,N2,0.4630,1.0000,0.53
1-methylhistidine,CL2355,N2,0.3060,1.0000,1.41
3-methylhistidine,CL2355,N2,0.6826,1.0000,0.92
N-acetylhistidine,CL2355,N2,0.1254,1.0000,0.57
N-acetyl-3-methylhistidine*,CL2355,N2,0.3210,1.0000,0.44
N-acetyl-1-methylhistidine*,CL2355,N2,0.3190,1.0000,0.77
trans-urocanate,CL2355,N2,0.9325,1.0000,0.40
cis-urocanate,CL2355,N2,0.7517,1.0000,0.36
imidazole propionate,CL2355,N2,0.0423,1.0000,0.32
formiminoglutamate,CL2355,N2,0.8595,1.0000,0.69
imidazole lactate,CL2355,N2,0.0497,1.0000,0.45
1-methyl-5-imidazoleacetate,CL2355,N2,0.9438,1.0000,1.12
1-ribosyl-imidazoleacetate*,CL2355,N2,0.0132,1.0000,0.46
4-imidazoleacetate,CL2355,N2,0.3405,1.0000,0.68
N-acetylhistamine,CL2355,N2,0.6216,1.0000,0.54
histidine methyl ester,CL2355,N2,0.1099,1.0000,2.23
lysine,CL2355,N2,0.6089,1.0000,0.26
N2-acetyllysine,CL2355,N2,0.1142,1.0000,0.41
N6-acetyllysine,CL2355,N2,0.7440,1.0000,0.19
"N2,N6-diacetyllysine",CL2355,N2,0.9186,1.0000,0.54
N6-methyllysine,CL2355,N2,0.8246,1.0000,0.28
"N6,N6,N6-trimethyllysine",CL2355,N2,0.8033,1.0000,0.77
"hydroxy-N6,N6,N6-trimethyllysine*",CL2355,N2,0.0792,1.0000,1.72
5-hydroxylysine,CL2355,N2,0.9433,1.0000,0.34
fructosyllysine,CL2355,N2,0.0397,1.0000,2.60
saccharopine,CL2355,N2,0.5673,1.0000,1.13
2-aminoadipate,CL2355,N2,0.9902,1.0000,0.42
2-oxoadipate,CL2355,N2,0.8739,1.0000,0.69
pipecolate,CL2355,N2,0.7720,1.0000,0.53
6-oxopiperidine-2-carboxylate,CL2355,N2,0.1437,1.0000,0.31
cadaverine,CL2355,N2,0.7625,1.0000,1.15
N-acetyl-cadaverine,CL2355,N2,0.7716,1.0000,1.22
5-aminovalerate,CL2355,N2,0.8887,1.0000,0.47
"N,N,N-trimethyl-5-aminovalerate",CL2355,N2,0.4061,1.0000,0.30
phenylalanine,CL2355,N2,0.5650,1.0000,0.58
N-acetylphenylalanine,CL2355,N2,0.8542,1.0000,0.31
phenylpyruvate,CL2355,N2,0.4868,1.0000,0.62
phenyllactate (PLA),CL2355,N2,0.5915,1.0000,0.56
phenethylamine,CL2355,N2,0.1633,1.0000,0.47
phenylacetate,CL2355,N2,0.7421,1.0000,0.63
2-hydroxyphenylacetate,CL2355,N2,0.6749,1.0000,0.75
4-hydroxyphenylacetate,CL2355,N2,0.9895,1.0000,1.09
