metabolite,numerator,denominator,p-value,q-value,FC
1-linolenoyl-GPC (18:3)*,CK10,N2,0.7554,1,0.1
1-arachidonoyl-GPC (20:4n6)*,CK10,N2,0.1463,1,1.74
1-lignoceroyl-GPC (24:0),CK10,N2,1,1,1
1-palmitoyl-GPE (16:0),CK10,N2,0.6796,1,0.82
1-stearoyl-GPE (18:0),CK10,N2,0.9953,1,0.96
2-stearoyl-GPE (18:0)*,CK10,N2,0.2004,1,3.24
1-oleoyl-GPE (18:1),CK10,N2,0.7124,1,1.18
1-linoleoyl-GPE (18:2)*,CK10,N2,0.7927,1,0.5
1-arachidonoyl-GPE (20:4n6)*,CK10,N2,0.8768,1,0.68
1-stearoyl-GPS (18:0)*,CK10,N2,0.1735,1,2.03
1-stearoyl-GPG (18:0),CK10,N2,0.0388,1,2.08
1-stearoyl-GPI (18:0),CK10,N2,0.1718,1,2.2
1-oleoyl-GPI (18:1),CK10,N2,0.8941,1,1.19
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,CK10,N2,0.8881,1,1.1
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,CK10,N2,0.4862,1,1.39
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),CK10,N2,0.8663,1,1.03
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,CK10,N2,0.9654,1,1.05
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,CK10,N2,0.0205,1,2.03
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,CK10,N2,0.7662,1,1.16
1-(1-enyl-oleoyl)-GPE (P-18:1)*,CK10,N2,0.0205,1,0.4
1-(1-enyl-stearoyl)-GPE (P-18:0)*,CK10,N2,0.8987,1,1.08
1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*,CK10,N2,0.0041,0.9183,0.45
glycerol,CK10,N2,0.8745,1,1.08
glycerol 3-phosphate,CK10,N2,0.2425,1,0.39
glycerophosphoglycerol,CK10,N2,0.3695,1,1.43
1-myristoylglycerol (14:0),CK10,N2,0.6589,1,1.22
1-pentadecanoylglycerol (15:0),CK10,N2,0.4467,1,0.9
1-palmitoylglycerol (16:0),CK10,N2,0.3216,1,3.95
1-palmitoleoylglycerol (16:1)*,CK10,N2,0.4206,1,1.47
1-margaroylglycerol (17:0),CK10,N2,0.4927,1,1.52
1-oleoylglycerol (18:1),CK10,N2,0.4076,1,1.43
1-linoleoylglycerol (18:2),CK10,N2,0.9806,1,0.56
1-linolenoylglycerol (18:3),CK10,N2,0.3057,1,1.6
1-dihomo-linolenylglycerol (20:3),CK10,N2,0.3899,1,1.09
1-arachidonylglycerol (20:4),CK10,N2,0.3747,1,1.62
1-eicosapentaenoylglycerol (20:5)*,CK10,N2,0.3735,1,1.59
2-palmitoleoylglycerol (16:1)*,CK10,N2,0.5033,1,1.27
2-oleoylglycerol (18:1),CK10,N2,0.6342,1,1.03
2-linoleoylglycerol (18:2),CK10,N2,0.6819,1,0.81
2-arachidonoylglycerol (20:4),CK10,N2,0.3725,1,1.6
2-eicosapentaenoylglycerol (20:5)*,CK10,N2,0.3077,1,1.8
1-heptadecenoylglycerol (17:1)*,CK10,N2,0.4954,1,1.07
2-heptadecenoylglycerol (17:1)*,CK10,N2,0.7032,1,0.88
1-dihomo-linoleoylglycerol (20:2),CK10,N2,0.9948,1,0.55
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],CK10,N2,0.0426,1,0.47
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,CK10,N2,0.9423,1,1.11
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,CK10,N2,0.2662,1,1.58
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,CK10,N2,0.5466,1,0.59
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,CK10,N2,0.3363,1,0.65
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,CK10,N2,0.8409,1,0.97
sphinganine,CK10,N2,0.7199,1,1.02
phytosphingosine,CK10,N2,0.7976,1,0.87
hexadecasphinganine (d16:0)*,CK10,N2,0.9953,1,1.02
1-deoxysphinganine (m18:0),CK10,N2,0.7673,1,0.95
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",CK10,N2,0.8783,1,0.91
heptadecasphingosine (d17:1),CK10,N2,0.5169,1,1.3
3-hydroxy-3-methylglutarate,CK10,N2,0.4185,1,0.88
7-dehydrocholesterol,CK10,N2,0.9212,1,0.74
4-cholesten-3-one,CK10,N2,0.6697,1,0.33
cholate,CK10,N2,0.8835,1,0.89
glycocholate,CK10,N2,0.769,1,0.67
taurocholate,CK10,N2,0.882,1,0.81
deoxycholate,CK10,N2,0.7004,1,0.75
glycodeoxycholate,CK10,N2,0.7541,1,0.64
taurodeoxycholate,CK10,N2,0.8846,1,0.91
inosine 5'-monophosphate (IMP),CK10,N2,0.238,1,0.2
inosine,CK10,N2,0.44,1,1.4
hypoxanthine,CK10,N2,0.9884,1,0.92
xanthine,CK10,N2,0.7869,1,1.06
xanthosine,CK10,N2,0.7638,1,1.27
2'-deoxyinosine,CK10,N2,0.7526,1,1.28
urate,CK10,N2,0.9165,1,1.05
uric acid ribonucleoside*,CK10,N2,0.8091,1,0.86
allantoin,CK10,N2,0.6185,1,1.33
allantoic acid,CK10,N2,0.5488,1,0.68
adenosine 5'-monophosphate (AMP),CK10,N2,0.4997,1,1.71
adenosine 3'-monophosphate (3'-AMP),CK10,N2,0.1158,1,2.76
adenosine 2'-monophosphate (2'-AMP),CK10,N2,0.5552,1,0.98
"adenosine 3',5'-cyclic monophosphate (cAMP)",CK10,N2,0.9987,1,0.96
"adenosine-2',3'-cyclic monophosphate",CK10,N2,0.9967,1,1
"adenosine 3',5'-diphosphate",CK10,N2,0.8763,1,1.14
adenylosuccinate,CK10,N2,0.8993,1,1.42
adenosine,CK10,N2,0.9383,1,0.77
adenine,CK10,N2,0.6045,1,0.75
1-methyladenine,CK10,N2,0.8609,1,1.04
N1-methyladenosine,CK10,N2,0.9018,1,1.02
N6-methyladenosine,CK10,N2,0.5428,1,1.35
isopentenyl adenosine,CK10,N2,0.4728,1,0.64
N6-carbamoylthreonyladenosine,CK10,N2,0.7711,1,0.94
2'-deoxyadenosine 5'-monophosphate,CK10,N2,0.8282,1,1.25
N6-succinyladenosine,CK10,N2,0.4152,1,1.52
guanosine 5'-diphosphate (GDP),CK10,N2,0.2791,1,1.82
guanosine 5'-monophosphate (5'-GMP),CK10,N2,0.5094,1,0.56
guanosine 3'-monophosphate (3'-GMP),CK10,N2,0.6552,1,1.21
"guanosine-2',3'-cyclic monophosphate",CK10,N2,0.8477,1,0.8
guanosine,CK10,N2,0.3575,1,1.5
guanine,CK10,N2,0.5785,1,0.82
1-methylguanine,CK10,N2,0.8456,1,1.08
7-methylguanine,CK10,N2,0.1625,1,2.19
7-methylguanosine,CK10,N2,0.6152,1,0.49
N1-methylguanosine,CK10,N2,0.892,1,0.97
N2-methylguanosine,CK10,N2,0.6097,1,0.69
"N2,N2-dimethylguanosine",CK10,N2,0.7577,1,0.67
"N2,N2-dimethylguanine",CK10,N2,0.7769,1,1.09
8-hydroxyguanine,CK10,N2,0.0579,1,23.62
2'-deoxyguanosine 5'-monophosphate (dGMP),CK10,N2,0.5441,1,1.37
2'-deoxyguanosine,CK10,N2,0.8832,1,1.19
N-carbamoylaspartate,CK10,N2,0.8082,1,0.86
dihydroorotate,CK10,N2,0.639,1,1.35
orotate,CK10,N2,0.9084,1,1.06
orotidine,CK10,N2,0.5399,1,1.15
uridine 5'-diphosphate (UDP),CK10,N2,0.5054,1,1.33
uridine 5'-monophosphate (UMP),CK10,N2,0.6612,1,0.74
uridine 3'-monophosphate (3'-UMP),CK10,N2,0.2188,1,2.31
"uridine-2',3'-cyclic monophosphate",CK10,N2,0.4893,1,1.12
uridine,CK10,N2,0.2269,1,1.56
uracil,CK10,N2,0.4019,1,1.32
pseudouridine,CK10,N2,0.8721,1,0.86
"5,6-dihydrouridine",CK10,N2,0.9489,1,0.78
2'-O-methyluridine,CK10,N2,0.7095,1,0.98
5-methyluridine (ribothymidine),CK10,N2,0.4218,1,1.62
"5,6-dihydrouracil",CK10,N2,0.5294,1,0.5
2'-deoxyuridine 5'-monophosphate,CK10,N2,0.9631,1,1.36
2'-deoxyuridine,CK10,N2,0.3922,1,1.46
3-ureidopropionate,CK10,N2,0.6185,1,0.51
beta-alanine,CK10,N2,0.641,1,0.78
3-(3-amino-3-carboxypropyl)uridine*,CK10,N2,0.8658,1,1.02
cytidine diphosphate,CK10,N2,0.6556,1,1.3
cytidine 5'-monophosphate (5'-CMP),CK10,N2,0.7092,1,1.1
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),CK10,N2,0.3201,1,1.51
"cytidine 2',3'-cyclic monophosphate",CK10,N2,0.524,1,1.06
cytidine,CK10,N2,0.9528,1,0.91
cytosine,CK10,N2,0.634,1,0.45
3-methylcytidine,CK10,N2,0.5305,1,0.73
5-methylcytidine,CK10,N2,0.5822,1,0.52
2'-deoxycytidine 5'-monophosphate,CK10,N2,0.8896,1,1.41
2'-deoxycytidine,CK10,N2,0.3502,1,0.57
2'-O-methylcytidine,CK10,N2,0.0682,1,2.62
thymidine 5'-monophosphate,CK10,N2,0.5595,1,1.9
thymidine,CK10,N2,0.6438,1,1.48
thymine,CK10,N2,0.3444,1,1.35
"5,6-dihydrothymine",CK10,N2,0.9936,1,0.93
3-aminoisobutyrate,CK10,N2,0.6415,1,0.72
methylphosphate,CK10,N2,0.3374,1,0.35
(3'-5')-adenylylcytidine,CK10,N2,0.9303,1,0.92
(3'-5')-adenylylguanosine*,CK10,N2,1,1,1
(3'-5')-adenylyluridine,CK10,N2,0.9925,1,1.01
(3'-5')-adenylyladenosine*,CK10,N2,0.8699,1,0.83
(3'-5')-cytidylyladenosine,CK10,N2,0.7667,1,0.66
(3'-5')-cytidylylcytidine*,CK10,N2,0.6618,1,1.59
(3'-5')-cytidylylguanosine,CK10,N2,1,1,1
(3'-5')-cytidylyluridine*,CK10,N2,0.9587,1,1.03
(3'-5')-guanylylcytidine,CK10,N2,1,1,1
(3'-5')-guanylyluridine,CK10,N2,1,1,1
(3'-5')-uridylylcytidine*,CK10,N2,1,1,1
(3'-5')-uridylyluridine,CK10,N2,1,1,1
(3'-5')-uridylyladenosine,CK10,N2,0.7953,1,1.3
quinolinate,CK10,N2,0.4922,1,0.78
nicotinate,CK10,N2,0.9315,1,1.02
nicotinate ribonucleoside,CK10,N2,0.3969,1,0.52
nicotinic acid mononucleotide (NaMN),CK10,N2,0.5734,1,1.13
nicotinamide,CK10,N2,0.6877,1,0.62
nicotinamide ribonucleotide (NMN),CK10,N2,0.4895,1,1.12
nicotinamide riboside,CK10,N2,0.2551,1,0.45
nicotinamide adenine dinucleotide (NAD+),CK10,N2,0.3512,1,0.54
6-hydroxynicotinate,CK10,N2,0.5087,1,0.99
trigonelline (N'-methylnicotinate),CK10,N2,0.0854,1,0.26
riboflavin (vitamin B2),CK10,N2,0.9099,1,1.02
flavin adenine dinucleotide (FAD),CK10,N2,0.6288,1,0.8
flavin mononucleotide (FMN),CK10,N2,0.6068,1,0.91
pantoate,CK10,N2,0.7243,1,1
pantothenate,CK10,N2,0.5192,1,1.16
pantethine,CK10,N2,0.5468,1,0.62
pantetheine,CK10,N2,0.7118,1,1.16
phosphopantetheine,CK10,N2,0.9302,1,1.02
3'-dephosphocoenzyme A,CK10,N2,0.8629,1,0.9
coenzyme A,CK10,N2,0.8945,1,0.79
ascorbate (vitamin C),CK10,N2,0.999,1,0.99
dehydroascorbate,CK10,N2,0.2993,1,0.77
threonate,CK10,N2,0.1367,1,1.32
gulonate*,CK10,N2,0.7233,1,1.06
biotin,CK10,N2,0.357,1,1.21
5-methyltetrahydrofolate (5MeTHF),CK10,N2,0.195,1,1.99
biopterin,CK10,N2,0.3662,1,0.79
dihydrobiopterin,CK10,N2,0.9834,1,1
pterin,CK10,N2,0.8887,1,0.74
xanthopterin,CK10,N2,0.3595,1,0.62
protoporphyrin IX,CK10,N2,0.8786,1,0.6
heme,CK10,N2,1,1,1
biliverdin,CK10,N2,0.3036,1,1.29
thiamin (vitamin B1),CK10,N2,0.5438,1,0.71
thiamin monophosphate,CK10,N2,0.6926,1,0.94
thiamin diphosphate,CK10,N2,0.7102,1,0.57
carotene diol (1),CK10,N2,0.3063,1,1.76
pyridoxamine,CK10,N2,0.7106,1,0.7
pyridoxamine phosphate,CK10,N2,0.5089,1,0.57
pyridoxal phosphate,CK10,N2,0.4894,1,0.75
pyridoxal,CK10,N2,0.8659,1,0.92
pyridoxate,CK10,N2,0.7206,1,0.76
benzoate,CK10,N2,0.7289,1,0.81
4-hydroxybenzoate,CK10,N2,0.9566,1,0.96
catechol,CK10,N2,0.3002,1,1.62
anthraniloyl-O-glucose,CK10,N2,0.2489,1,2.04
1-methylxanthine,CK10,N2,0.8549,1,0.71
2-piperidinone,CK10,N2,0.5918,1,0.71
3-dehydroshikimate,CK10,N2,0.904,1,0.7
"2,3-dihydroxyisovalerate",CK10,N2,0.5498,1,1.04
dipicolinate,CK10,N2,1,1,1
2-isopropylmalate,CK10,N2,0.3988,1,1.55
3-formylindole,CK10,N2,0.3325,1,1.2
3-hydroxyindolin-2-one,CK10,N2,0.0828,1,4.5
gluconate,CK10,N2,0.9971,1,0.89
ciliatine (2-aminoethylphosphonate),CK10,N2,0.9918,1,0.67
ergothioneine,CK10,N2,0.9546,1,0.73
erythritol,CK10,N2,0.969,1,1.09
quinate,CK10,N2,0.4862,1,0.87
histidine betaine (hercynine)*,CK10,N2,0.644,1,0.49
homostachydrine*,CK10,N2,0.718,1,0.72
mannonate*,CK10,N2,0.28,1,2.1
stachydrine,CK10,N2,0.9874,1,0.67
ethyl alpha-glucopyranoside,CK10,N2,0.9151,1,0.88
methyl glucopyranoside (alpha + beta),CK10,N2,0.158,1,0.2
harmane,CK10,N2,0.4423,1,0.75
2-ketogluconate,CK10,N2,0.7769,1,0.84
"9,10-methylenehexadecanoate**",CK10,N2,0.2613,1,1.93
2-dimethylaminoethanol,CK10,N2,0.3041,1,1.5
3-indoleglyoxylic acid,CK10,N2,0.9462,1,1.06
ethyl beta-glucopyranoside,CK10,N2,0.6248,1,1.62
pyochelin,CK10,N2,0.8162,1,0.77
lactobacillic acid,CK10,N2,0.31,1,1.84
7-chlorotryptophan,CK10,N2,0.7577,1,0.47
pyrrolnitrin,CK10,N2,0.8742,1,1.22
5-fluorouracil,CK10,N2,0.5944,1,1.34
salicylate,CK10,N2,0.616,1,1.4
S-carboxymethyl-cysteine,CK10,N2,0.5348,1,0.77
sulfate*,CK10,N2,0.905,1,0.96
O-sulfo-tyrosine,CK10,N2,0.1758,1,1.48
ectoine,CK10,N2,0.9011,1,0.41
glycerol 2-phosphate,CK10,N2,0.8152,1,0.87
"2,4-di-tert-butylphenol",CK10,N2,0.2594,1,1.54
thioproline,CK10,N2,0.3888,1,1.21
glutamine_degradant*,CK10,N2,0.9328,1,0.9
X-10445,CK10,N2,0.6766,1,0.08
X-11580,CK10,N2,0.441,1,1.32
X-11612,CK10,N2,0.4082,1,0.58
X-11615,CK10,N2,0.7324,1,0.4
X-11787,CK10,N2,0.954,1,0.88
X-11795,CK10,N2,0.2786,1,0.31
X-12026,CK10,N2,0.3875,1,0.7
X-12100,CK10,N2,0.8237,1,1.04
X-12101,CK10,N2,0.7339,1,0.72
X-12411,CK10,N2,0.9561,1,0.95
X-12462,CK10,N2,0.9567,1,0.84
X-13507,CK10,N2,0.7851,1,0.8
X-14056,CK10,N2,0.3051,1,1.58
X-14254,CK10,N2,0.6434,1,2.14
X-15161,CK10,N2,0.216,1,1.81
X-15245,CK10,N2,0.9309,1,0.26
X-15461,CK10,N2,0.6016,1,1.02
X-15520,CK10,N2,0.4881,1,0.43
X-15853,CK10,N2,0.8295,1,1.37
X-16938,CK10,N2,0.6994,1,0.81
X-17009,CK10,N2,0.9612,1,0.98
X-17335,CK10,N2,0.7471,1,1.14
X-17761,CK10,N2,0.9025,1,0.98
X-17877,CK10,N2,0.8837,1,1.14
X-18278,CK10,N2,0.9298,1,1.23
X-20100,CK10,N2,0.8129,1,1.31
X-20172,CK10,N2,0.8708,1,1.24
X-20716,CK10,N2,0.9971,1,0.99
X-20747,CK10,N2,0.9876,1,1.16
X-21353,CK10,N2,0.5434,1,0.57
X-21607,CK10,N2,0.8012,1,0.84
X-21796,CK10,N2,0.9979,1,1.11
X-22062,CK10,N2,0.9869,1,0.98
X-22776,CK10,N2,0.8989,1,1.19
X-23109,CK10,N2,0.337,1,1.62
X-23587,CK10,N2,0.3103,1,0.53
X-23593,CK10,N2,0.4828,1,1.27
X-23639,CK10,N2,0.6545,1,0.61
X-23648,CK10,N2,0.7827,1,0.58
X-23654,CK10,N2,0.8613,1,0.93
X-23662,CK10,N2,0.5678,1,1.35
X-23672,CK10,N2,0.9742,1,0.96
X-23739,CK10,N2,0.5071,1,1.64
X-24243,CK10,N2,0.9745,1,1.04
X-24425,CK10,N2,0.8068,1,1.19
X-24456,CK10,N2,0.7289,1,1.07
X-24608,CK10,N2,0.6435,1,0.71
X-24697,CK10,N2,0.5102,1,0.75
X-24728,CK10,N2,0.8675,1,0.62
X-24729,CK10,N2,0.8648,1,1.13
X-24807,CK10,N2,0.7403,1,1.23
X-25004,CK10,N2,0.79,1,1.13
X-25009,CK10,N2,0.8965,1,1.09
X-25026,CK10,N2,0.4474,1,1.8
X-25080,CK10,N2,0.4434,1,1.87
X-25102,CK10,N2,0.8697,1,1.12
X-25109,CK10,N2,0.7733,1,0.86
X-25111,CK10,N2,0.2707,1,1.32
X-25180,CK10,N2,0.8456,1,1.44
X-25551,CK10,N2,0.4876,1,1.54
X-25563,CK10,N2,0.7715,1,1.14
X-25594,CK10,N2,0.9486,1,0.99
X-25837,CK10,N2,0.6769,1,0.35
X-25936,CK10,N2,0.5486,1,0.43
X-25940,CK10,N2,0.378,1,1.27
X-25948,CK10,N2,0.8723,1,0.89
X-25955,CK10,N2,0.6118,1,0.6
X-25984,CK10,N2,0.057,1,3.36
X-26008,CK10,N2,0.5303,1,0.33
X-26094,CK10,N2,0.9344,1,1.04
X-26095,CK10,N2,0.9173,1,0.26
X-26127,CK10,N2,0.7173,1.0000,0.84
glycine,CL2355,N2,0.0432,0.6608,0.7
N-acetylglycine,CL2355,N2,0.0494,0.6608,0.44
sarcosine,CL2355,N2,0.2676,0.9786,1.42
dimethylglycine,CL2355,N2,0.2498,0.9786,1.64
betaine,CL2355,N2,0.9893,1.0000,0.94
betaine aldehyde,CL2355,N2,0.1933,0.9311,1.62
serine,CL2355,N2,0.7782,1.0000,1.03
N-acetylserine,CL2355,N2,0.0399,0.6511,0.39
3-phosphoserine,CL2355,N2,0.4754,0.9888,0.6
threonine,CL2355,N2,0.0597,0.7007,0.57
N-acetylthreonine,CL2355,N2,0.0370,0.6353,0.34
O-acetylhomoserine,CL2355,N2,0.3538,0.9888,1.18
homoserine lactone,CL2355,N2,0.6355,0.9888,0.72
alanine,CL2355,N2,0.4078,0.9888,0.84
N-acetylalanine,CL2355,N2,0.4538,0.9888,0.8
aspartate,CL2355,N2,0.6585,0.9963,1.08
N-acetylaspartate (NAA),CL2355,N2,0.5095,0.9888,0.74
asparagine,CL2355,N2,0.6897,1.0000,0.28
N-acetylasparagine,CL2355,N2,0.3807,0.9888,0.64
glutamate,CL2355,N2,0.2083,0.9565,0.68
glutamine,CL2355,N2,0.4129,0.9888,0.27
alpha-ketoglutaramate*,CL2355,N2,0.3485,0.9888,0.38
N-acetylglutamate,CL2355,N2,0.9768,1.0000,0.81
N-acetylglutamine,CL2355,N2,0.0557,0.6696,0.31
4-hydroxyglutamate,CL2355,N2,0.8287,1.0000,1.02
"glutamate, gamma-methyl ester",CL2355,N2,0.3514,0.9888,0.56
S-1-pyrroline-5-carboxylate,CL2355,N2,0.6027,0.9888,1.06
propionylglutamine,CL2355,N2,0.0008,0.3079,0.07
histidine,CL2355,N2,0.1768,0.9189,0.67
1-methylhistidine,CL2355,N2,0.3776,0.9888,0.74
3-methylhistidine,CL2355,N2,0.1147,0.8456,0.59
N-acetylhistidine,CL2355,N2,0.9064,1.0000,1.01
N-acetyl-3-methylhistidine*,CL2355,N2,0.1656,0.9189,0.41
N-acetyl-1-methylhistidine*,CL2355,N2,0.1335,0.8823,0.61
trans-urocanate,CL2355,N2,0.3997,0.9888,0.55
cis-urocanate,CL2355,N2,0.3346,0.9888,0.57
imidazole propionate,CL2355,N2,0.0236,0.6231,0.19
formiminoglutamate,CL2355,N2,0.3043,0.9786,0.59
imidazole lactate,CL2355,N2,0.8933,1.0000,0.89
1-methyl-5-imidazoleacetate,CL2355,N2,0.6101,0.9888,1.29
1-ribosyl-imidazoleacetate*,CL2355,N2,1.0000,1.0000,1
4-imidazoleacetate,CL2355,N2,0.1115,0.8302,0.62
N-acetylhistamine,CL2355,N2,0.9331,1.0000,0.86
histidine methyl ester,CL2355,N2,0.5176,0.9888,0.77
lysine,CL2355,N2,0.9501,1.0000,0.66
N2-acetyllysine,CL2355,N2,0.5219,0.9888,0.75
N6-acetyllysine,CL2355,N2,0.7092,1.0000,0.79
"N2,N6-diacetyllysine",CL2355,N2,0.2850,0.9786,0.36
N6-methyllysine,CL2355,N2,0.8869,1.0000,0.88
"N6,N6,N6-trimethyllysine",CL2355,N2,0.9400,1.0000,1.05
"hydroxy-N6,N6,N6-trimethyllysine*",CL2355,N2,0.0392,0.6511,0.57
5-hydroxylysine,CL2355,N2,0.9937,1.0000,0.9
fructosyllysine,CL2355,N2,0.5807,0.9888,0.88
saccharopine,CL2355,N2,0.4380,0.9888,0.75
2-aminoadipate,CL2355,N2,0.8263,1.0000,1.45
2-oxoadipate,CL2355,N2,0.8647,1.0000,0.99
pipecolate,CL2355,N2,0.0325,0.6231,0.18
6-oxopiperidine-2-carboxylate,CL2355,N2,0.0838,0.7634,0.4
cadaverine,CL2355,N2,0.2772,0.9786,1.59
N-acetyl-cadaverine,CL2355,N2,0.7174,1.0000,1.22
5-aminovalerate,CL2355,N2,0.7065,1.0000,0.74
"N,N,N-trimethyl-5-aminovalerate",CL2355,N2,0.8580,1.0000,2.46
phenylalanine,CL2355,N2,0.4007,0.9888,0.79
N-acetylphenylalanine,CL2355,N2,0.1956,0.9311,0.23
phenylpyruvate,CL2355,N2,0.1299,0.8818,0.27
phenyllactate (PLA),CL2355,N2,0.9138,1.0000,0.73
phenethylamine,CL2355,N2,0.0149,0.5062,0.3
phenylacetate,CL2355,N2,0.0092,0.5062,0.2
2-hydroxyphenylacetate,CL2355,N2,0.9887,1.0000,0.92
4-hydroxyphenylacetate,CL2355,N2,0.2362,0.9673,0.55
tyrosine,CL2355,N2,0.7854,1.0000,0.96
N-acetyltyrosine,CL2355,N2,0.1115,0.8302,0.29
tyramine,CL2355,N2,0.6039,0.9888,1.19
4-hydroxyphenylpyruvate,CL2355,N2,0.2533,0.9786,0.86
homogentisate,CL2355,N2,0.2337,0.9673,0.2
3-(4-hydroxyphenyl)lactate,CL2355,N2,0.6652,0.9984,1.19
dopamine,CL2355,N2,0.9449,1.0000,1
o-tyrosine,CL2355,N2,0.3101,0.9786,0.65
O-methyltyrosine,CL2355,N2,0.8521,1.0000,0.78
gentisate,CL2355,N2,0.6114,0.9888,2.1
N-formylphenylalanine,CL2355,N2,0.1918,0.9311,0.52
tryptophan,CL2355,N2,0.2202,0.9653,0.72
N-acetyltryptophan,CL2355,N2,0.4839,0.9888,0.51
C-glycosyltryptophan,CL2355,N2,0.0067,0.5062,1.74
oxindolylalanine,CL2355,N2,0.1603,0.9189,0.58
N-formylkynurenine,CL2355,N2,0.1621,0.9189,0.58
kynurenine,CL2355,N2,0.5312,0.9888,0.71
kynurenate,CL2355,N2,0.4185,0.9888,0.57
N-formylanthranilic acid,CL2355,N2,0.4747,0.9888,0.55
anthranilate,CL2355,N2,0.4667,0.9888,1.15
picolinate,CL2355,N2,0.6933,1.0000,0.94
N-acetylserotonin,CL2355,N2,0.5146,0.9888,1.17
indolelactate,CL2355,N2,0.2952,0.9786,0.54
indoleacetate,CL2355,N2,0.4027,0.9888,0.39
tryptophol,CL2355,N2,0.1429,0.8828,0.25
indole-3-carboxylate,CL2355,N2,0.4406,0.9888,0.73
leucine,CL2355,N2,0.9240,1.0000,0.98
N-acetylleucine,CL2355,N2,0.1235,0.8769,0.48
4-methyl-2-oxopentanoate,CL2355,N2,0.3574,0.9888,0.79
alpha-hydroxyisocaproate,CL2355,N2,0.6262,0.9888,1.28
isovaleryl/2-methylbutyryl CoA,CL2355,N2,0.3837,0.9888,0.33
isovalerate (i5:0),CL2355,N2,0.9206,1.0000,0.98
isovalerylglycine,CL2355,N2,0.0027,0.5062,0.22
isovalerylcarnitine (C5),CL2355,N2,0.0247,0.6231,0.45
beta-hydroxyisovalerate,CL2355,N2,0.3935,0.9888,0.67
beta-hydroxyisovaleroylcarnitine,CL2355,N2,0.8161,1.0000,1.08
beta-hydroxyisovalerylglycine,CL2355,N2,0.0815,0.7610,0.37
3-methylglutaconate,CL2355,N2,0.0291,0.6231,0.3
isoleucine,CL2355,N2,0.9875,1.0000,1.01
N-acetylisoleucine,CL2355,N2,0.4865,0.9888,0.78
3-methyl-2-oxovalerate,CL2355,N2,0.3818,0.9888,0.81
2-hydroxy-3-methylvalerate,CL2355,N2,0.4691,0.9888,1.21
2-methylbutyrylcarnitine (C5),CL2355,N2,0.0765,0.7520,0.47
tiglylcarnitine (C5:1-DC),CL2355,N2,0.7599,1.0000,0.95
ethylmalonate,CL2355,N2,0.3138,0.9786,1.64
methylsuccinate,CL2355,N2,0.8515,1.0000,1.18
valine,CL2355,N2,0.7215,1.0000,0.82
N-acetylvaline,CL2355,N2,0.2282,0.9673,0.39
3-methyl-2-oxobutyrate,CL2355,N2,0.2629,0.9786,0.5
alpha-hydroxyisovalerate,CL2355,N2,0.4234,0.9888,1.46
isobutyrylcarnitine (C4),CL2355,N2,0.0254,0.6231,0.47
3-hydroxyisobutyrate,CL2355,N2,0.7438,1.0000,1.29
methionine,CL2355,N2,0.9024,1.0000,1.12
N-acetylmethionine,CL2355,N2,0.5133,0.9888,0.85
N-formylmethionine,CL2355,N2,0.8810,1.0000,0.98
methionine sulfone,CL2355,N2,0.7732,1.0000,0.79
methionine sulfoxide,CL2355,N2,0.8103,1.0000,0.86
N-acetylmethionine sulfoxide,CL2355,N2,0.6056,0.9888,0.8
S-adenosylmethionine (SAM),CL2355,N2,0.5997,0.9888,2.3
S-adenosylhomocysteine (SAH),CL2355,N2,0.8146,1.0000,2.83
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",CL2355,N2,0.3222,0.9886,0.74
2-hydroxy-4-(methylthio)butanoic acid,CL2355,N2,0.0258,0.6231,3.91
cystathionine,CL2355,N2,0.8223,1.0000,0.73
cysteine,CL2355,N2,0.9365,1.0000,1.14
N-acetylcysteine,CL2355,N2,0.8739,1.0000,1.3
S-methylcysteine,CL2355,N2,0.7035,1.0000,2.02
S-methylcysteine sulfoxide,CL2355,N2,0.8995,1.0000,1.26
cysteine s-sulfate,CL2355,N2,0.5971,0.9888,1.15
cystine,CL2355,N2,0.9341,1.0000,0.62
lanthionine,CL2355,N2,0.0616,0.7046,0.52
hypotaurine,CL2355,N2,0.9485,1.0000,0.95
taurine,CL2355,N2,0.2991,0.9786,2.22
N-acetyltaurine,CL2355,N2,0.4468,0.9888,0.76
3-sulfo-alanine,CL2355,N2,0.4991,0.9888,0.2
